Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,System Average Interruption Duration Index (SAIDI) (Minutes),215.00,,Minutes,EF.7.2,215.00,Minutes,IF-EU,IF-EU-550a.2a,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,System Average Interruption Frequency Index (SAIFI) - Number of interruptions,1.39,,Minutes,EF.7.3,1.39,Minutes,IF-EU,IF-EU-550a.2b,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Customer Average Interruption Duration index (CAIDI) (Minutes),154.80,,Minutes,EF.7.4,154.80,Minutes,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Total Scope 1 emissions CO2e (metric tonnes),78760420.00,,metric tonnes,Em.1.1,78760420.00,mtCO2e,IF-EU,IF-EU-110a.1a,"Mg (t) CO_-e, Percentage (%)",C6.1,C6.1.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.01,,mtCO2e/USD,Em.13.1,0.01,mtCO2e/USD,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.80,,mtCO2e/MWh generated,Em.13.8,0.80,mtCO2e/MWh generated,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,NOx (MT),47618.00,,"Mg (t), Percentage (%)",Em.17.10,47618.00,Mg,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,SO2 (MT),68652.00,,"Mg (t), Percentage (%)",Em.17.13,68652.00,Mg,IF-EU,IF-EU-120a.1b,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Mercury (kg) ,195.90,,kg,Em.17.8,195.90,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,SF6 (MT CO2e),189810.00,,mtCO2e,Em.4.12,189810.00,mtCO2e,IF-EU,,,,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,CO2 (MT),78001430.00,,mtCO2e,Em.4.7,78001430.00,mtCO2e,IF-EU,,,,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,CH4 (MT CO2e),239428.00,,mtCO2e,Em.4.8,239428.00,mtCO2e,IF-EU,,,,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,N2O (MT CO2e),329753.00,,mtCO2e,Em.4.9,329753.00,mtCO2e,IF-EU,,,,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Location Based (MT CO2e),12957602.00,,mtCO2e,Em.7.1,12957602.00,mtCO2e,IF-EU,,,C6.3,C6.3.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Market Based (MT CO2e),8271179.00,,mtCO2e,Em.7.2,8271179.00,mtCO2e,IF-EU,,,C6.3,C6.3.2,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Total Water Consumption (m3/year),167428676.37,,m_/year,WR.1.1,167428.68,dam3,IF-EU,IF-EU-140a.1b,"Thousand cubic meters (m_), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY17,,,Final ESG Data Center.xlsx,,,Total Water Withdrawal (m3/year),6790322967.90,,m_/year,WR.2.1,6790322.97,dam3,IF-EU,IF-EU-140a.1a,"Thousand cubic meters (m_), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,System Average Interruption Duration Index (SAIDI) (Minutes),256.60,,Minutes,EF.7.2,256.60,Minutes,IF-EU,IF-EU-550a.2a,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,System Average Interruption Frequency Index (SAIFI) - Number of interruptions,1.53,,Minutes,EF.7.3,1.53,Minutes,IF-EU,IF-EU-550a.2b,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,Customer Average Interruption Duration index (CAIDI) (Minutes),167.70,,Minutes,EF.7.4,167.70,Minutes,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,Total Scope 1 emissions CO2e (metric tonnes),75361246.00,,metric tonnes,Em.1.1,75361246.00,mtCO2e,IF-EU,IF-EU-110a.1a,"Mg (t) CO_-e, Percentage (%)",C6.1,C6.1.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.01,,mtCO2e/USD,Em.13.1,0.01,mtCO2e/USD,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,US,,FY18,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.83,,mtCO2e/MWh generated,Em.13.8,0.83,mtCO2e/MWh generated,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,Baltzell
