Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,,Total Energy Use,7955318.00,,MWh,EF.1.1,7955318.00,MWh,TC-SI,TC-SI-130a.1a,"Gigajoules (GJ), Percentage (%)",,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,,Electricity,7564271.00,,MWh,EF.1.4,7564271.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,6,Other Fuels5,391047.00,,MWh,EF.1.10,391047.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,6,Renewable Energy Usage6,7564271.00,,MWh,EF.1.8,7564271.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,,Renewable Energy Credits,5767570.00,,MWh,EF.1.11,5767570.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,,Power Purchase Agreements,1796301.00,,MWh,EF.1.12,1796301.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,,On-Site Renewable Energy,400.00,,MWh,EF.1.13,400.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,,Total Energy Use,6718944.00,,MWh,EF.1.1,6718944.00,MWh,TC-SI,TC-SI-130a.1a,"Gigajoules (GJ), Percentage (%)",,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,,Electricity,6344479.00,,MWh,EF.1.4,6344479.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,6,Other Fuels5,374465.00,,MWh,EF.1.10,374465.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,6,Renewable Energy Usage6,6104758.00,,MWh,EF.1.8,6104758.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,,Renewable Energy Credits,5119876.00,,MWh,EF.1.11,5119876.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,,Power Purchase Agreements,984464.00,,MWh,EF.1.12,984464.00,MWh,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,,On-Site Renewable Energy,418.00,,MWh,EF.1.13,418.00,MWh,TC-SI,,,,,Tiemann
