Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
PPL CORP,US69351T1060,D3510,,,FY19,,,PPL SASB Map 2019,,,mercury (Hg),55.00,,kg,Em.17.8,55.00,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY19,,,Final ESG Data Center.xlsx,,,Mercury (kg) ,140.90,,kg,Em.17.8,140.90,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY18,,,Final ESG Data Center.xlsx,,,Mercury (kg) ,179.20,,kg,Em.17.8,179.20,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY17,,,Final ESG Data Center.xlsx,,,Mercury (kg) ,195.90,,kg,Em.17.8,195.90,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
SOUTHERN CO/THE,US8425871071,D3510,,,FY19,,,EEI-ESG-Sustainability-Reporting-Template.pdf,,,Air emissions from mercury (Hg),137.00,,kg,Em.17.8,137.00,kg,IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,Baltzell
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Landfilled,1602.00,,metric tons,OE.N/A.0,1602.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Recycled,11236.00,,metric tons,OE.4.1,11236.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Incinerated,342.00,,metric tons,OE.1.1,342.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Composted,5886.00,,metric tons,OE.4.2,5886.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Hazardous Waste (included in the categories above),1405.00,,metric tons,OE.1.2,1405.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,10,Recycled Hazardous Waste (included in the categories above),1376.00,,metric tons,OE.???.0,1376.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Landfilled,1602.00,,metric tons,OE.N/A.0,1602.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Recycled,11236.00,,metric tons,OE.4.1,11236.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Incinerated,342.00,,metric tons,OE.1.1,342.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Composted,5886.00,,metric tons,OE.4.2,5886.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Hazardous Waste (included in the categories above),1405.00,,metric tons,OE.1.2,1405.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY17,,,MSFT ESG 2018 Report,2,10,Recycled Hazardous Waste (included in the categories above),1376.00,,metric tons,OE.???.0,1376.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Landfilled,1602.00,,metric tons,OE.N/A.0,1602.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Recycled,11236.00,,metric tons,OE.4.1,11236.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Incinerated,342.00,,metric tons,OE.1.1,342.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Composted,5886.00,,metric tons,OE.4.2,5886.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Hazardous Waste (included in the categories above),1405.00,,metric tons,OE.1.2,1405.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY16,,,MSFT ESG 2018 Report,2,10,Recycled Hazardous Waste (included in the categories above),1376.00,,metric tons,OE.???.0,1376.00,Mg,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,WW,,FY18,,,MSFT ESG 2018 Report,5,,NOX Emissions,29.00,,metric tons,Em.17.10,29.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,Asia,,FY18,,,MSFT ESG 2018 Report,5,,NOX Emissions - Asia,1.00,,metric tons,Em.17.10,1.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,EMEA,,FY18,,,MSFT ESG 2018 Report,5,,"NOX Emissions - Europe, Middle East, Africa",3.00,,metric tons,Em.17.10,3.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,LATAM,,FY18,,,MSFT ESG 2018 Report,5,,NOX Emissions - Latin America,1.00,,metric tons,Em.17.10,1.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,NORAM,,FY18,,,MSFT ESG 2018 Report,5,,NOX Emissions - North America,24.00,,metric tons,Em.17.10,24.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,WW,,FY18,,,MSFT ESG 2018 Report,5,,SOX Emissions,2.00,,metric tons,Em.17.13,2.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,Asia,,FY18,,,MSFT ESG 2018 Report,5,,SOX Emissions - Asia,1.00,,metric tons,Em.17.13,1.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,EMEA,,FY18,,,MSFT ESG 2018 Report,5,,"SOX Emissions - Europe, Middle East, Africa",0.00,,metric tons,Em.17.13,0.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,LATAM,,FY18,,,MSFT ESG 2018 Report,5,,SOX Emissions - Latin America,0.00,,metric tons,Em.17.13,0.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,NORAM,,FY18,,,MSFT ESG 2018 Report,5,,SOX Emissions - North America,1.00,,metric tons,Em.17.13,1.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,WW,,FY18,,,MSFT ESG 2018 Report,5,,VOC Emissions,11.00,,metric tons,Em.17.14,11.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,Asia,,FY18,,,MSFT ESG 2018 Report,5,,VOC Emissions - Asia,0.00,,metric tons,Em.17.14,0.00,Mg,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,EMEA,,FY18,,,MSFT ESG 2018 Report,5,,"VOC Emissions - Europe, Middle East, Africa",0.00,,metric tons,Em.17.14,0.00,Mg,TC-SI,,,,,Tiemann
