Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,9,Water Withdrawals,7202446.00,,m3,WR.2.1,7202.45,dam3,TC-SI,TC-SI-130a.2a,"Thousand cubic meters (m³), Percentage (%)",,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,9,Water Consumption,3614312.00,,m3,WR.1.1,3614.31,dam3,TC-SI,TC-SI-130a.2b,"Thousand cubic meters (m³), Percentage (%)",,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,2,9,Water Discharge,3588134.00,,m3,WR.14.0,3588.13,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,WW,,FY18,,,MSFT ESG 2018 Report,7,13,Total Water Withdrawals,7202446.00,,m3,WR.1.0,7202.45,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Municipal,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Municipal Supply,6839293.00,,m3,WR.1.0,6839.29,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Surface,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Surface Water,0.00,,m3,WR.1.0,0.00,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Ground,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Ground Water,29140.00,,m3,WR.1.0,29.14,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Salt/Brackish,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Salt/Brackish water,0.00,,m3,WR.1.0,0.00,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Rain,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Rain water,39424.00,,m3,WR.1.0,39.42,dam3,TC-SI,,,#N/A,#N/A,Tiemann
MICROSOFT CORP,US5949181045,J5820,Process,,FY18,,,MSFT ESG 2018 Report,7,13,Water Withdrawals - Process Water,294589.00,,m3,WR.1.0,294.59,dam3,TC-SI,,,#N/A,#N/A,Tiemann
