Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,1,Scope 1,90723.00,,mtCO2e,Em.1.1,90723.00,mtCO2e,TC-SI,,,C6.1,C6.1.1,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,,Scope 2 - Location-Based,3000523.00,,mtCO2e,Em.7.1,3000523.00,mtCO2e,TC-SI,,,C6.3,C6.3.1,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,1,Scope 2 - Market-Based1,183329.00,,mtCO2e,Em.7.2,183329.00,mtCO2e,TC-SI,,,C6.3,C6.3.2,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,2,Scope 3 - Purchased Goods & Services / Capital Goods2,11000000.00,,mtCO2e,Em.11.18,11000000.00,mtCO2e,TC-SI,,,,,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,,Scope 3 - Fuel- and Energy-Related Activities,550000.00,,mtCO2e,Em.11.3,550000.00,mtCO2e,TC-SI,,,C6.5,C6.5.3,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,2,Scope 3 - Upstream Transportation2,100000.00,,mtCO2e,Em.11.4,100000.00,mtCO2e,TC-SI,,,C6.5,C6.5.4,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,2,Scope 3 - Waste2,700.00,,mtCO2e,Em.11.5,700.00,mtCO2e,TC-SI,,,C6.5,C6.5.5,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,1,Scope 3 - Business Travel1,378230.00,,mtCO2e,Em.11.6,378230.00,mtCO2e,TC-SI,,,C6.5,C6.5.6,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,2,Scope 3 - Employee Commuting2,330000.00,,mtCO2e,Em.11.7,330000.00,mtCO2e,TC-SI,,,C6.5,C6.5.7,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,2,Scope 3 - Downstream Transportation2,100000.00,,mtCO2e,Em.11.9,100000.00,mtCO2e,TC-SI,,,C6.5,C6.5.9,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,3,Scope 3 - Use of Sold Products3,4784000.00,,mtCO2e,Em.11.11,4784000.00,mtCO2e,TC-SI,,,C6.5,C6.5.11,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,,Scope 3 - End of Life of Sold Products,95000.00,,mtCO2e,Em.11.12,95000.00,mtCO2e,TC-SI,,,C6.5,C6.5.12,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,,Scope 3 - Downstream Leased Assets,1690.00,,mtCO2e,Em.11.13,1690.00,mtCO2e,TC-SI,,,C6.5,C6.5.13,Tiemann
MICROSOFT CORP,US5949181045,J5820,,,FY18,,,MSFT ESG 2018 Report,1,4,"Total - Scope 1, Scope 2, and Scope 34",17614000.00,,mtCO2e,Em.12.1,17614000.00,mtCO2e,TC-SI,,,,,Tiemann
