Company Name,ISIN,ISIC full_code,Region/Country,Report Date,Fiscal Year,Quarter,Month,Orig Report,Page,Note,Report Label,Quantity,Quantity Type,Reported Units,OS-C Code,Standardized Quantity,Standardized units,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Analyst
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,Total water consumed,0.00,,Billions of Liters/Net MWh,WR.1.1,1.64,dam3/MWh,IF-EU,IF-EU-140a.1b,"Thousand cubic meters (m³), Percentage (%)",,,Baltzell
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,Total water withdrawn,0.00,,Billions of Liters/Net MWh,WR.2.1,13.66,dam3/MWh,IF-EU,IF-EU-140a.1a,"Thousand cubic meters (m³), Percentage (%)",,,Baltzell
KYUSHU ELECTRIC POWER CO INC,JP3246400000,D3510,,,FY20,,,,,,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",187.50,,minutes/month,EF.7.4,187.50,minutes/month,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
TOKYO ELECTRIC POWER COMPANY,JP3585800000,D3510,,,FY17,,,TEPCO/sasb2020-e.pdf,3,,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",66.66,,minutes/times,EF.7.4,66.66,minutes/times,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
TOKYO ELECTRIC POWER COMPANY,JP3585800000,D3510,,,FY18,,,TEPCO/sasb2020-e.pdf,3,,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",146.15,,minutes/times,EF.7.4,146.15,minutes/times,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
TOKYO ELECTRIC POWER COMPANY,JP3585800000,D3510,,,FY19,,,TEPCO/sasb2020-e.pdf,3,,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",606.06,,minutes/times,EF.7.4,606.06,minutes/times,IF-EU,IF-EU-550a.2c,"Minutes, Number",,,Baltzell
Royal Dutch Shell plc,GB00B03MLX29,B0610,Global,,FY19,,,Shell Sustainability Report 2019,88,,Net Carbon Footprint (gCO2e/MJ),78.00,,gCO2e/MJ,Em.13.1,21.68,mtCO2e/MWh generated,EM-EP,,,C6.10,C6.10.1,Baltzell
Royal Dutch Shell plc,GB00B03MLX29,B0610,Global,,FY18,,,Shell Sustainability Report 2019,88,,Net Carbon Footprint (gCO2e/MJ),79.00,,gCO2e/MJ,Em.13.1,21.96,mtCO2e/MWh generated,EM-EP,,,C6.10,C6.10.1,Baltzell
Royal Dutch Shell plc,GB00B03MLX29,B0610,Global,,FY17,,,Shell Sustainability Report 2019,88,,Net Carbon Footprint (gCO2e/MJ),79.00,,gCO2e/MJ,Em.13.1,21.96,mtCO2e/MWh generated,EM-EP,,,C6.10,C6.10.1,Baltzell
Royal Dutch Shell plc,GB00B03MLX29,B0610,Global,,FY16,,,Shell Sustainability Report 2019,88,,Net Carbon Footprint (gCO2e/MJ),79.00,,gCO2e/MJ,Em.13.1,21.96,mtCO2e/MWh generated,EM-EP,,,C6.10,C6.10.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY19,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.86,,mtCO2e/MWh generated,Em.13.8,0.86,mtCO2e/MWh generated,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY19,,,2020 SASB Report,3,,Greenhouse gas (GHG) emissions associated with power deliveries,11756.00,,CO2e Lbs/MWh,Em.5.5,5.33,mtCO2e/MWh generated,IF-EU,IF-EU-110a.2a,Mg (t) CO₂-e,,,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY18,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.83,,mtCO2e/MWh generated,Em.13.8,0.83,mtCO2e/MWh generated,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY17,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.80,,mtCO2e/MWh generated,Em.13.8,0.80,mtCO2e/MWh generated,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY19,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.01,,mtCO2e/USD,Em.13.1,0.01,mtCO2e/USD,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY18,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.01,,mtCO2e/USD,Em.13.1,0.01,mtCO2e/USD,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,Baltzell
AMERICAN ELECTRIC POWER,US0255371017,D3510,,,FY17,,,Final ESG Data Center.xlsx,,,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.01,,mtCO2e/USD,Em.13.1,0.01,mtCO2e/USD,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,Baltzell
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,Average retail electric rate for residential customers,163.45,,USD/kWh,EF.9.1,163.45,USD/kWh,IF-EU,IF-EU-240a.1a,Rate,,,Baltzell
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,Average retail electric rate for commercial customers,0.98,,USD/kWh,EF.9.2,0.98,USD/kWh,IF-EU,IF-EU-240a.1b,Rate,,,Baltzell
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,Average retail electric rate for industrial customers,0.40,,USD/kWh,EF.9.3,0.40,USD/kWh,IF-EU,IF-EU-240a.1c,Rate,,,Baltzell
PPL CORP,US69351T1060,D3510,,,FY19,,,,,,"Typical monthly electric bill for residential customers for 1,000 kWh of electricity delivered per month",134.74,,USD/MWh,EF.9.5,134.74,USD/MWh,IF-EU,IF-EU-240a.2b,Reporting currency,,,Baltzell
