OS-C Code,Factor Area Code,Factor Code,Sub-Factor Code,Factor Area,Factor,Sub Factor
EF.1.1,EF,1,1,Energy/Fuel,Energy consumption,Total energy consumed
EF.1.10,EF,1,10,Energy/Fuel,Energy consumption,Total energy from other fuels
EF.1.11,EF,1,11,Energy/Fuel,Energy consumption,Renewable Energy Credits
EF.1.12,EF,1,12,Energy/Fuel,Energy consumption,Power Purchase Agreements
EF.1.13,EF,1,13,Energy/Fuel,Energy consumption,On-Site Renewable Energy
EF.1.14,EF,1,14,Energy/Fuel,Energy consumption,Non-Renewable Electricity by Region
EF.1.15,EF,1,15,Energy/Fuel,Energy consumption,Non-Renewable Electricity by Source - Coal
EF.1.16,EF,1,16,Energy/Fuel,Energy consumption,Non-Renewable Electricity by Source - Petroleum
EF.1.17,EF,1,17,Energy/Fuel,Energy consumption,Non-Renewable Electricity by Source - Natural Gas
EF.1.18,EF,1,18,Energy/Fuel,Energy consumption,Non-Renewable Electricity by Source - Nuclear
EF.1.19,EF,1,19,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed by region
EF.1.20,EF,1,20,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Wind
EF.1.21,EF,1,21,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Landfill Gas
EF.1.22,EF,1,22,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Biomass
EF.1.23,EF,1,23,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Hydro
EF.1.24,EF,1,24,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Geothermal
EF.1.25,EF,1,25,Energy/Fuel,Energy consumption,Renewable Energy Purchased & Consumed - Solar
EF.1.4,EF,1,4,Energy/Fuel,Energy consumption,Total energy from electricity
EF.1.8,EF,1,8,Energy/Fuel,Energy consumption,Total energy from renewables
EF.2.1,EF,2,1,Energy/Fuel,Energy consumption %,% of energy from alternative sources
EF.2.4,EF,2,4,Energy/Fuel,Energy consumption %,% of energy from grid
EF.2.7,EF,2,7,Energy/Fuel,Energy consumption %,% of energy from renewables
EF.6.1,EF,6,1,Energy/Fuel,RPS,Number of customers served in markets subject to renewable portfolio standards (RPS)
EF.6.2,EF,6,2,Energy/Fuel,RPS,Percentage fulfillment of renewable portfolio standards (RPS) target by market
EF.6.3,EF,6,3,Energy/Fuel,RPS,Strategy
EF.7.1,EF,7,1,Energy/Fuel,Grid Resiliency,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations
EF.7.2,EF,7,2,Energy/Fuel,Grid Resiliency,System Average Interruption Duration Index (SAIDI)
EF.7.3,EF,7,3,Energy/Fuel,Grid Resiliency,System Average Interruption Frequency Index (SAIFI)
EF.7.4,EF,7,4,Energy/Fuel,Grid Resiliency,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days"
EF.7.5,EF,7,5,Energy/Fuel,Grid Resiliency,The entity shall discuss notable service disruptions such as those that affected a significant number of customers or disruptions of extended duration
EF.8.1,EF,8,1,Energy/Fuel,End-Use Efficiency & Demand,Percentage of electric utility revenues from rate structures that are decoupled
