SASB Industry Code,SASB Sub-Metric Code,SASB units
EM-CM,EM-CM-130a.1a,"Gigajoules (GJ), Percentage (%)"
EM-CM,EM-CM-110a.1a,"Mg (t) CO₂-e, Percentage (%)"
EM-CM,EM-CM-120a.1a,Mg (t)
EM-CM,EM-CM-120a.1c,Mg (t)
EM-CM,EM-CM-120a.1b,Mg (t)
EM-CM,EM-CM-140a.1b,"Thousand cubic meters (m³), Percentage (%)"
EM-CM,EM-CM-140a.1c,"Thousand cubic meters (m³), Percentage (%)"
EM-CM,EM-CM-130a.1b,"Gigajoules (GJ), Percentage (%)"
EM-CM,EM-CM-130a.1c,"Gigajoules (GJ), Percentage (%)"
EM-CM,EM-CM-130a.1d,"Gigajoules (GJ), Percentage (%)"
EM-CM,EM-CM-110a.1b,"Mg (t) CO₂-e, Percentage (%)"
EM-CM,EM-CM-110a.2a,n/a
EM-CM,EM-CM-410a.1a,Percentage (%) by annual sales revenue
EM-CM,EM-CM-410a.2a,"Reporting currency, Percentage (%)"
EM-CM,EM-CM-140a.1a,"Thousand cubic meters (m³), Percentage (%)"
EM-EP,EM-EP-110a.1a,"Mg CO₂-e (t), Percentage (%)"
EM-EP,EM-EP-120a.1a,Mg (t)
EM-EP,EM-EP-120a.1b,Mg (t)
EM-EP,EM-EP-120a.1c,Mg (t)
EM-MM,EM-MM-130a.1a,"Gigajoules (GJ), Percentage (%)"
EM-MM,EM-MM-110a.1a,"Mg (t) CO₂-e, Percentage (%)"
EM-MM,EM-MM-120a.1a,Mg (t)
EM-MM,EM-MM-120a.1b,Mg (t)
EM-MM,EM-MM-120a.1d,Mg (t)
EM-MM,EM-MM-120a.1c,Mg (t)
EM-MM,EM-MM-120a.1g,Mg (t)
EM-MM,EM-MM-120a.1e,Mg (t)
EM-MM,EM-MM-120a.1f,Mg (t)
EM-MM,EM-MM-130a.1b,"Gigajoules (GJ), Percentage (%)"
EM-MM,EM-MM-130a.1c,"Gigajoules (GJ), Percentage (%)"
EM-MM,EM-MM-110a.1b,"Mg (t) CO₂-e, Percentage (%)"
EM-MM,EM-MM-110a.2a,n/a
EM-MM,EM-MM-140a.1a,"Thousand cubic meters (m³), Percentage (%)"
EM-MM,EM-MM-140a.1b,"Thousand cubic meters (m³), Percentage (%)"
