,Accounting Metric Code,Accounting Metric or Activity Metric
0,CG-AA-250a.1,Discussion of processes to maintain compliance with restricted substances regulations
1,CG-AA-250a.2,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
2,CG-AA-430a.1,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits and/or contractual agreements
3,CG-AA-430a.2,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or an equivalent environmental data assessment
4,CG-AA-430b.1,"Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labor code of conduct, (3) percentage of total audits conducted by a third-party auditor"
5,CG-AA-430b.2,Priority non-conformance rate and associated corrective action rate for suppliers’ labor code of conduct audits
6,CG-AA-430b.3,"Description of the greatest (1) labor and (2) environmental, health, and safety risks in the supply chain"
7,CG-AA-440a.1,Description of environmental and social risks associated with sourcing priority raw materials
8,CG-AA-440a.2,"Percentage of raw materials third-party certified to an environmental and/or social sustainability standard, by standard"
9,CG-AM-250a.1,Number of (1) recalls issued and (2) total units recalled
10,CG-AM-250a.2,Discussion of process to identify and manage safety risks associated with the use of its products
11,CG-AM-250a.3,Total amount of monetary losses as a result of legal proceedings associated with product safety
12,CG-AM-410a.1,Percentage of eligible products by revenue certified to the ENERGY STAR® program
13,CG-AM-410a.2,Percentage of eligible products certified to an Association of Home Appliance Manufacturers (AHAM) sustainability standard
14,CG-AM-410a.3,Description of efforts to manage products’ end-of-life impacts
15,CG-BF-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
16,CG-BF-250a.1,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
17,CG-BF-250a.2,Percentage of eligible products meeting volatile organic compound (VOC) emissions and content standards
18,CG-BF-410a.1,Description of efforts to manage product lifecycle impacts and meet demand for sustainable products
19,CG-BF-410a.2,"(1) Weight of end-of-life material recovered, (2) percentage of recovered materials recycled"
20,CG-BF-430a.1,"(1) Total weight of wood fiber materials purchased, (2) percentage from third-party certified forestlands, (3) percentage by standard, and (4) percentage certified to other wood fiber standards, (5) percentage by standard"
21,CG-EC-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
22,CG-EC-130a.2,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
23,CG-EC-130a.3,Discussion of the integration of environmental considerations into strategic planning for data center needs
24,CG-EC-220a.1,Number of users whose information is used for secondary purposes
25,CG-EC-220a.2,Description of policies and practices relating to behavioral advertising and user privacy
26,CG-EC-230a.1,Description of approach to identifying and addressing data security risks
27,CG-EC-230a.2,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of users affected"
28,CG-EC-330a.1,Employee engagement as a percentage
29,CG-EC-330a.2,(1) Voluntary and (2) involuntary turnover rate for all employees
30,CG-EC-330a.3,"Percentage of gender and racial/ethnic group representation for (1) management, (2) technical staff, and (3) all other employees"
31,CG-EC-330a.4,Percentage of technical employees who are H-1B visa holders
32,CG-EC-410a.1,Total greenhouse gas (GHG) footprint of product shipments
33,CG-EC-410a.2,Discussion of strategies to reduce the environmental impact of product delivery
34,CG-HP-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
35,CG-HP-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
36,CG-HP-250a.1,Revenue from products that contain REACH substances of very high concern (SVHC)
