,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure,variable,value
2167,SV-AD-000.Aa,,SV,SV-AD,SV-AD-000.A,,Quantitative,Number,SV-AD-000.Aa,Number,FR0010285965,407
2168,SV-AD-000.Ba,,SV,SV-AD,SV-AD-000.B,,Quantitative,Number,SV-AD-000.Ba,Number,FR0010285965,248
2169,SV-AD-000.Ca,,SV,SV-AD,SV-AD-000.C,,Quantitative,Number,SV-AD-000.Ca,Number,FR0010285965,775
2170,SV-AD-000.Da,,SV,SV-AD,SV-AD-000.D,,Quantitative,Number,SV-AD-000.Da,Number,FR0010285965,623
2171,SV-AD-220a.1a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.1,Discussion and Analysis,,SV-AD-220a.1a,,FR0010285965,TEXT
2172,SV-AD-220a.2a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.2,Quantitative,Percentage (%) by revenue,SV-AD-220a.2a,Percentage (%) by revenue,FR0010285965,0.65
2173,SV-AD-220a.3a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.3,Quantitative,Reporting currency,SV-AD-220a.3a,Reporting currency,FR0010285965,686
2174,SV-AD-220a.3b,,SV,SV-AD,SV-AD-220a,SV-AD-220a.3,Quantitative,Reporting currency,SV-AD-220a.3b,,FR0010285965,TEXT
2175,SV-AD-270a.1a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.1,Quantitative,Reporting currency,SV-AD-270a.1a,Reporting currency,FR0010285965,203
2176,SV-AD-270a.1b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.1,Quantitative,Reporting currency,SV-AD-270a.1b,,FR0010285965,TEXT
2177,SV-AD-270a.2a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.2,Quantitative,Percentage (%) by revenue,SV-AD-270a.2a,Percentage (%) by revenue,FR0010285965,0.88
2178,SV-AD-270a.2b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.2,Quantitative,Percentage (%) by revenue,SV-AD-270a.2b,Percentage (%) by revenue,FR0010285965,0.45
2179,SV-AD-270a.3a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.3,Quantitative,Percentage (%) by revenue,SV-AD-270a.3a,Percentage (%) by revenue,FR0010285965,0.78
2180,SV-AD-270a.3b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.3,Quantitative,Percentage (%) by revenue,SV-AD-270a.3b,Percentage (%) by revenue,FR0010285965,0.23
2181,SV-AD-330a.1a,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1a,Percentage (%),FR0010285965,0.95
2182,SV-AD-330a.1aa,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1aa,Percentage (%),FR0010285965,0.29
2183,SV-AD-330a.1b,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1b,Percentage (%),FR0010285965,0.89
2184,SV-AD-330a.1bb,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1bb,,FR0010285965,TEXT
2185,SV-AD-330a.1c,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1c,Percentage (%),FR0010285965,0.81
2186,SV-AD-330a.1d,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1d,Percentage (%),FR0010285965,0.47
2187,SV-AD-330a.1e,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1e,Percentage (%),FR0010285965,0.1
2188,SV-AD-330a.1f,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1f,Percentage (%),FR0010285965,0.52
2189,SV-AD-330a.1g,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1g,Percentage (%),FR0010285965,0.96
2190,SV-AD-330a.1h,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1h,Percentage (%),FR0010285965,0.85
2191,SV-AD-330a.1i,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1i,Percentage (%),FR0010285965,0.33
2192,SV-AD-330a.1j,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1j,Percentage (%),FR0010285965,0.71
2193,SV-AD-330a.1k,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1k,Percentage (%),FR0010285965,0.3
2194,SV-AD-330a.1l,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1l,Percentage (%),FR0010285965,0.36
2195,SV-AD-330a.1m,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1m,Percentage (%),FR0010285965,0.49
2196,SV-AD-330a.1n,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1n,Percentage (%),FR0010285965,0.7
2197,SV-AD-330a.1o,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1o,Percentage (%),FR0010285965,0.43
2198,SV-AD-330a.1p,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1p,Percentage (%),FR0010285965,0.1
2199,SV-AD-330a.1q,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1q,Percentage (%),FR0010285965,0.41
2200,SV-AD-330a.1r,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1r,Percentage (%),FR0010285965,0.97
2201,SV-AD-330a.1s,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1s,Percentage (%),FR0010285965,0.93
2202,SV-AD-330a.1t,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1t,Percentage (%),FR0010285965,0.61
2203,SV-AD-330a.1u,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1u,Percentage (%),FR0010285965,0.4
2204,SV-AD-330a.1v,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1v,Percentage (%),FR0010285965,0.74
2205,SV-AD-330a.1w,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1w,Percentage (%),FR0010285965,0.32
2206,SV-AD-330a.1x,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1x,Percentage (%),FR0010285965,0.18
2207,SV-AD-330a.1y,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1y,Percentage (%),FR0010285965,0.19
2208,SV-AD-330a.1z,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1z,Percentage (%),FR0010285965,0.76
4880,RT-AE-000.Aa,,RT,RT-AE,RT-AE-000.A,,Quantitative,Number,RT-AE-000.Aa,Number,CA00182X1078,394
4881,RT-AE-000.Ba,,RT,RT-AE,RT-AE-000.B,,Quantitative,Number,RT-AE-000.Ba,Number,CA00182X1078,23
4882,RT-AE-130a.1a,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1a,Gigajoules (GJ),CA00182X1078,801
4883,RT-AE-130a.1b,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1b,Percentage (%),CA00182X1078,0.76
4884,RT-AE-130a.1c,,RT,RT-AE,RT-AE-130a,RT-AE-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",RT-AE-130a.1c,Percentage (%),CA00182X1078,0.77
