,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
2167,SV-AD-000.Aa,,SV,SV-AD,SV-AD-000.A,,Quantitative,Number,SV-AD-000.Aa,Number
2168,SV-AD-000.Ba,,SV,SV-AD,SV-AD-000.B,,Quantitative,Number,SV-AD-000.Ba,Number
2169,SV-AD-000.Ca,,SV,SV-AD,SV-AD-000.C,,Quantitative,Number,SV-AD-000.Ca,Number
2170,SV-AD-000.Da,,SV,SV-AD,SV-AD-000.D,,Quantitative,Number,SV-AD-000.Da,Number
2171,SV-AD-220a.1a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.1,Discussion and Analysis,,SV-AD-220a.1a,
2172,SV-AD-220a.2a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.2,Quantitative,Percentage (%) by revenue,SV-AD-220a.2a,Percentage (%) by revenue
2173,SV-AD-220a.3a,,SV,SV-AD,SV-AD-220a,SV-AD-220a.3,Quantitative,Reporting currency,SV-AD-220a.3a,Reporting currency
2174,SV-AD-220a.3b,,SV,SV-AD,SV-AD-220a,SV-AD-220a.3,Quantitative,Reporting currency,SV-AD-220a.3b,
2175,SV-AD-270a.1a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.1,Quantitative,Reporting currency,SV-AD-270a.1a,Reporting currency
2176,SV-AD-270a.1b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.1,Quantitative,Reporting currency,SV-AD-270a.1b,
2177,SV-AD-270a.2a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.2,Quantitative,Percentage (%) by revenue,SV-AD-270a.2a,Percentage (%) by revenue
2178,SV-AD-270a.2b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.2,Quantitative,Percentage (%) by revenue,SV-AD-270a.2b,Percentage (%) by revenue
2179,SV-AD-270a.3a,,SV,SV-AD,SV-AD-270a,SV-AD-270a.3,Quantitative,Percentage (%) by revenue,SV-AD-270a.3a,Percentage (%) by revenue
2180,SV-AD-270a.3b,,SV,SV-AD,SV-AD-270a,SV-AD-270a.3,Quantitative,Percentage (%) by revenue,SV-AD-270a.3b,Percentage (%) by revenue
2181,SV-AD-330a.1a,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1a,Percentage (%)
2182,SV-AD-330a.1aa,,SV,SV-AD,SV-AD-330a,SV-AD-330a.1,Quantitative,Percentage (%),SV-AD-330a.1aa,Percentage (%)
