,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
0,CG-AA-000.Aa,Number of Tier 1 suppliers
1,CG-AA-000.Ab,Number of suppliers beyond Tier 1
2,CG-AA-250a.1a,Discussion of processes to maintain compliance with restricted substances regulations
3,CG-AA-250a.2a,Discussion of processes to assess and manage risks associated with chemicals in products
4,CG-AA-430a.1a,Percentage of Tier 1 supplier facilities with wastewater discharge meeting or exceeding legal requirements
5,CG-AA-430a.1b,Percentage of supplier facilities beyond Tier 1 with wastewater discharge meeting or exceeding legal requirements
6,CG-AA-430a.1c,Disclosure shall include a description of the risk related to wastewater discharge and the wastewater treatment and management method(s) used
7,CG-AA-430a.2a,Percentage of Tier 1 suppliers who have completed the Sustainable Apparel Coalition’s Higg Index Facility Environmental Module (Higg FEM) assessment or equivalent environmental data collection
8,CG-AA-430a.2b,Percentage of suppliers beyond Tier 1 who have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment or equivalent environmental data collection
9,CG-AA-430b.1a,Percentage of Tier 1 suppliers that have been audited to a labor code of conduct
10,CG-AA-430b.1b,Percentage of suppliers beyond Tier 1 that have been audited to a labor code of conduct
11,CG-AA-430b.1c,Percentage of total audits that have been conducted by a third party auditor
12,CG-AA-430b.2a,Priority non-conformance rate for suppliers’ labor code of conduct audits
13,CG-AA-430b.2b,Corrective action rate associated with suppliers’ non-conformance found by labor code of conduct audits
14,CG-AA-430b.2c,"Disclosure shall include a discussion of additional context around supply chain auditing, such as audit methodologies and supply chain transparency"
15,CG-AA-430b.3a,Discussion of greatest labor risks in the supply chain
16,CG-AA-430b.3b,"Discussion of greatest environmental, health, and safety risks in the supply chain"
17,CG-AA-440a.1a,Discussion of environmental and social risks associated with sourcing priority raw materials
18,CG-AA-440a.2a,"Percentage of raw materials third-party certified to an environmental or social sustainability standard, by standard"
19,CG-AM-000.Aa,Annual production
20,CG-AM-250a.1a,Number of recalls
21,CG-AM-250a.1b,Total units recalled
22,CG-AM-250a.1c,The entity shall discuss notable recalls such as those that affected a significant number of units of one product or those related to serious injury or fatality
23,CG-AM-250a.2a,Discussion of process to identify and manage safety risks associated with the use of its products
24,CG-AM-250a.3a,Total amount of monetary losses as a result of legal proceedings associated with product safety
25,CG-AM-250a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
26,CG-AM-410a.1a,Percentage of eligible products certified to a U.S. EPA ENERGY STAR® standard
27,CG-AM-410a.2a,Percentage of eligible products certified to an Association of Home Appliance Manufacturers (AHAM) sustainability standard
28,CG-AM-410a.3a,Description of efforts to manage products’ end-of-life impacts
29,CG-BF-000.Aa,Annual production
30,CG-BF-000.Ba,Area of manufacturing facilities
31,CG-BF-130a.1a,Total energy consumed
32,CG-BF-130a.1b,Percentage total energy consumed that is grid electricity
33,CG-BF-130a.1c,Percentage of total energy consumed that is renewable energy
34,CG-BF-250a.1a,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
35,CG-BF-250a.2a,Percentage of eligible products meeting volatile organic compound (VOC) emissions and content standards
36,CG-BF-410a.1a,Description of efforts to manage product lifecycle impacts and meet demand for sustainable products
37,CG-BF-410a.2a,Weight of end-of-life material recovered
38,CG-BF-410a.2b,Percentage of end-of-life recovered materials recycled
39,CG-BF-430a.1a,Total weight of wood fiber materials purchased
40,CG-BF-430a.1b,Percentage of weight of total wood fiber materials purchased from third-party certified forestlands
41,CG-BF-430a.1c,"Percentage of weight of total wood fiber materials purchased from third-party certified forestlands, by standard"
42,CG-BF-430a.1d,Percentage of weight of total wood fiber materials purchased certified to other fiber sourcing standards
43,CG-BF-430a.1e,"Percentage of weight of total wood fiber materials purchased certified to other fiber sourcing standards, by standard"
44,CG-BF-430a.1f,"The entity shall discuss its practices for sourcing (1) wood fiber materials from forestlands that are not certified to a third-party forest management standard, and (2) wood fiber materials not certified to other wood fiber certification standards"
45,CG-EC-000.Aa,Entity-defined measure of user activity
46,CG-EC-000.Ba,Data processing capacity
47,CG-EC-000.Bb,Percentage of data capacity outsourced
48,CG-EC-000.Ca,Number of shipments
49,CG-EC-130a.1a,Total energy consumed
50,CG-EC-130a.1b,Percentage of energy consumed that is grid electricity
51,CG-EC-130a.1c,Percentage of energy consumed that is renewable
52,CG-EC-130a.2a,Total water withdrawn
53,CG-EC-130a.2b,Total water consumed
54,CG-EC-130a.2c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
